,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
1492,Joginder Sharma (India),2004-2007,4,3,2,35,29*,35.00,30,116.66,0,0,0
1493,Nazmul Hossain (Ban),2004-2012,38,21,13,35,6*,4.37,128,27.34,0,0,4
1494,JO Ngoche (Kenya),2010-2013,17,11,4,35,21*,5.00,85,41.17,0,0,4
1495,KT Sandher (Can),2006-2007,15,10,4,35,12,5.83,107,32.71,0,0,1
1496,Saqlain Haider (UAE),2014-2015,3,2,0,35,28,17.50,49,71.42,0,0,0
1497,AR Tait (NZ),1998-1999,5,5,2,35,13*,11.66,32,109.37,0,0,0
1498,SD Udal (Eng),1994-2005,11,7,4,35,11*,11.66,46,76.08,0,0,1
1499,MWA van Nierop (Neth),2006-2006,2,2,1,35,31*,35.00,49,71.42,0,0,0
1500,SM Warnapura (SL),2007-2008,3,3,0,35,30,11.66,76,46.05,0,0,1
1501,Zulfiqar Babar (Pak),2014-2015,5,5,3,35,14*,17.50,40,87.50,0,0,0
1502,RP Alexander (USA),2004-2004,2,2,0,34,26,17.00,75,45.33,0,0,0
1503,SA Ankola (India),1989-1997,20,13,4,34,9,3.77,42,80.95,0,0,5
1504,Ata-ur-Rehman (Pak),1992-1996,30,13,6,34,11*,4.85,76,44.73,0,0,2
1505,Atiq-uz-Zaman (Pak),2000-2000,3,3,1,34,18,17.00,36,94.44,0,0,0
1506,ID Austin (Eng),1998-1999,9,6,1,34,11*,6.80,49,69.38,0,0,0
1507,RO Collinge (NZ),1973-1978,15,9,3,34,9,5.66,62,54.83,0,0,1
1508,PJ Cummins (Aus),2011-2015,18,7,4,34,11*,11.33,62,54.83,0,0,1
1509,RMS Eranga (SL),2011-2015,17,10,7,34,12*,11.33,63,53.96,0,0,1
1510,BN French (Eng),1985-1988,13,8,3,34,9*,6.80,71,47.88,0,0,2
1511,AS Luseno (Kenya),2003-2010,10,9,7,34,16*,17.00,50,68.00,0,0,1
1512,M Mbangwa (Zim),1996-2002,29,13,6,34,11,4.85,56,60.71,0,0,2
1513,Mohammad Asif (Asia/Pak),2005-2010,38,16,7,34,6,3.77,100,34.00,0,0,3
1514,CG Rackemann (Aus),1983-1991,52,18,6,34,9*,2.83,77,44.15,0,0,6
1515,TT Smart (HK),2004-2004,2,2,0,34,25,17.00,94,36.17,0,0,0
1516,T Gibbons (Ber),2006-2006,2,2,0,33,33,16.50,98,33.67,0,0,1
1517,LWS Kaluperuma (SL),1975-1982,4,3,3,33,14*,-,60,55.00,0,0,0
1518,RR Kulkarni (India),1983-1987,10,5,3,33,15,16.50,39,84.61,0,0,0
1519,RJ McCurdy (Aus),1985-1985,11,6,2,33,13*,8.25,71,46.47,0,0,1
1520,GE Peckover (Zim),1983-1983,3,3,1,33,16*,16.50,54,61.11,0,0,0
1521,AS Wassan (India),1990-1991,9,6,2,33,16,8.25,56,58.92,0,0,1
1522,TM Alderman (Aus),1981-1991,65,18,6,32,9*,2.66,97,32.98,0,0,6
1523,RE Bryson (SA),1997-1997,7,4,3,32,17*,32.00,25,128.00,0,0,0
1524,BP Kruger (Neth),2010-2011,5,3,0,32,15,10.66,50,64.00,0,0,0
1525,SLV Raju (India),1990-1996,53,16,8,32,8,4.00,67,47.76,0,0,4
1526,JD Siddons (Aus),1988-1988,1,1,0,32,32,32.00,37,86.48,0,0,0
1527,BS Bedi (India),1974-1979,10,7,2,31,13,6.20,70,44.28,0,0,1
1528,HM Goonatilleke (SL),1982-1982,6,4,3,31,14*,31.00,58,53.44,0,0,0
1529,PW Jarvis (Eng),1988-1993,16,8,2,31,16*,5.16,39,79.48,0,0,2
1530,GC Martin (Zim),1994-1995,5,4,0,31,16,7.75,65,47.69,0,0,0
1531,MN Nawaz (SL),1998-2002,3,3,1,31,15*,15.50,71,43.66,0,0,0
1532,JD Nel (Scot),2006-2010,19,10,8,31,11*,15.50,54,57.40,0,0,1
1533,MM Sharma (India),2013-2015,26,9,5,31,11,7.75,66,46.96,0,0,1
1534,Sikander Bakht (Pak),1977-1989,27,11,7,31,16*,7.75,97,31.95,0,0,2
1535,RW Sims (Zim),2002-2003,3,2,1,31,24,31.00,67,46.26,0,0,0
1536,RD Woolley (Aus),1983-1983,4,3,2,31,16,31.00,38,81.57,0,0,0
1537,M Yachad (SA),1991-1991,1,1,0,31,31,31.00,77,40.25,0,0,0
1538,BE Young (Aus),1998-1999,6,3,1,31,18,15.50,47,65.95,0,0,0
1539,GJ Batty (Eng),2002-2009,10,8,2,30,17,5.00,73,41.09,0,0,1
1540,SL Boock (NZ),1978-1987,14,7,4,30,12,10.00,31,96.77,0,0,1
1541,M Cheruparambil (HK),2004-2004,2,2,0,30,30,15.00,52,57.69,0,0,1
1542,PT Collins (WI),1999-2005,30,12,5,30,10*,4.28,50,60.00,0,0,2
1543,BL D'Oliveira (Eng),1971-1972,4,4,1,30,17,10.00,43,69.76,0,0,0
1544,EE Hemmings (Eng),1982-1991,33,12,6,30,8*,5.00,61,49.18,0,0,1
1545,AJ Ireland (Zim),2005-2007,26,13,5,30,8*,3.75,101,29.70,0,0,3
1546,KW Richardson (Aus),2013-2016,12,4,2,30,19,15.00,19,157.89,0,0,1
1547,IT Shillingford (WI),1978-1978,2,2,0,30,24,15.00,38,78.94,0,0,0
1548,JCB Vaughan (Can),1979-1979,3,3,0,30,29,10.00,55,54.54,0,0,1
1549,JS Ababu (Kenya),1999-2006,9,5,2,29,17,9.66,63,46.03,0,0,0
1550,TCB Fernando (SL),2001-2003,17,10,6,29,14*,7.25,59,49.15,0,0,1
1551,BW Hilfenhaus (Aus),2007-2012,25,11,8,29,16,9.66,69,42.02,0,0,0
1552,Imran Abbas (Pak),2000-2000,2,2,0,29,28,14.50,63,46.03,0,0,0
1553,DI Joyce (Ire),2006-2007,3,3,0,29,18,9.66,56,51.78,0,0,1
1554,RAS Lakmal (SL),2009-2015,42,18,11,29,8,4.14,83,34.93,0,0,4
1555,ARM Opatha (SL),1975-1979,5,3,0,29,18,9.66,55,52.72,0,0,1
1556,KJ Wright (Aus),1979-1979,5,2,0,29,23,14.50,52,55.76,0,0,0
1557,Adeel Raja (Neth),2002-2011,21,12,2,28,8*,2.80,139,20.14,0,0,4
1558,WW Davis (WI),1983-1988,35,5,3,28,10,14.00,53,52.83,0,0,0
1559,JD Hall (Ire),2010-2010,3,3,0,28,15,9.33,75,37.33,0,0,0
1560,Kamran Hussain (Pak),2008-2008,2,1,1,28,28*,-,21,133.33,0,0,0
1561,A Mishra (India),2003-2015,31,9,3,28,9,4.66,62,45.16,0,0,2
1562,DS Mohanty (India),1997-2001,45,11,6,28,18*,5.60,57,49.12,0,0,3
1563,Taslim Arif (Pak),1980-1980,2,2,0,28,24,14.00,58,48.27,0,0,0
1564,Ehsan Adil (Pak),2013-2015,6,4,1,27,15,9.00,42,64.28,0,0,0
1565,TJ Franklin (NZ),1983-1988,3,3,0,27,21,9.00,89,30.33,0,0,1
1566,TG Gordon (Can),2011-2011,5,5,0,27,9,5.40,59,45.76,0,0,0
1567,TJ Heggelman (Neth),2010-2011,5,5,0,27,22,5.40,85,31.76,0,0,0
1568,HAPW Jayawardene (SL),2003-2007,6,5,0,27,20,5.40,44,61.36,0,0,1
1569,TP Kamungozi (Zim),2006-2015,14,11,6,27,12*,5.40,55,49.09,0,0,2
1570,BL Kotze (Nam),2003-2003,5,4,1,27,24*,9.00,51,52.94,0,0,2
1571,WM Lawry (Aus),1971-1971,1,1,0,27,27,27.00,49,55.10,0,0,0
1572,Mohsin Kamal (Pak),1984-1989,19,6,3,27,11*,9.00,40,67.50,0,0,0
1573,Mujahid Jamshed (Pak),1997-1997,4,3,1,27,23,13.50,54,50.00,0,0,0
1574,RJ Robinson (Ber),2007-2009,3,2,0,27,17,13.50,40,67.50,0,0,0
1575,ED Solkar (India),1974-1976,7,6,0,27,13,4.50,79,34.17,0,0,1
1576,BA Williams (Aus),2002-2004,25,6,4,27,13*,13.50,46,58.69,0,0,2
1577,Zakir Khan (Pak),1984-1990,17,5,4,27,11*,27.00,63,42.85,0,0,0
1578,Aizaz Cheema (Pak),2011-2012,14,6,3,26,9*,8.66,45,57.77,0,0,0
1579,BJ Diamanti (NZ),2009-2009,1,1,1,26,26*,-,22,118.18,0,0,0
1580,BG Hadlee (NZ),1975-1975,2,2,1,26,19,26.00,93,27.95,0,0,0
1581,RC Haynes (WI),1989-1991,8,6,1,26,18,5.20,66,39.39,0,0,2
1582,A Kuruvilla (India),1997-1997,25,11,4,26,7,3.71,43,60.46,0,0,1
1583,Mohammad Mithun (Ban),2014-2014,2,1,0,26,26,26.00,39,66.66,0,0,0
1584,MS Panesar (Eng),2007-2007,26,8,3,26,13,5.20,91,28.57,0,0,0
1585,Pervez Mir (Pak),1975-1977,3,3,1,26,18,13.00,44,59.09,0,0,0
1586,CEB Rice (SA),1991-1991,3,2,0,26,14,13.00,37,70.27,0,0,0
1587,TG Shaw (SA),1991-1994,9,6,4,26,17*,13.00,35,74.28,0,0,1
1588,SL Stewart (NZ),2010-2010,4,4,0,26,14,6.50,59,44.06,0,0,0
1589,Tareq Aziz (Ban),2002-2004,10,8,7,26,11*,26.00,73,35.61,0,0,1
1590,BO van Rooi (Nam),2003-2003,3,3,2,26,17,26.00,38,68.42,0,0,0
1591,RJ van Vuuren (Nam),2003-2003,5,5,2,26,14,8.66,38,68.42,0,0,2
1592,Wasim Haider (Pak),1992-1992,3,2,0,26,13,13.00,70,37.14,0,0,0
1593,MA Wood (Eng),2015-2015,7,3,2,26,13,26.00,27,96.29,0,0,0
1594,Zain Abbas (HK),2008-2008,1,1,1,26,26*,-,54,48.14,0,0,0
1595,Sultan Zarawani (UAE),1994-1996,7,6,0,26,13,4.33,62,41.93,0,0,1
1596,Aftab Alam (Afg),2010-2015,12,8,4,25,14,6.25,38,65.78,0,0,1
1597,RJ Blakey (Eng),1992-1993,3,2,0,25,25,12.50,50,50.00,0,0,1
1598,DK Butler (WI),2005-2006,5,4,3,25,13*,25.00,34,73.52,0,0,0
1599,JJ Dawood (Can),2009-2010,2,1,1,25,25*,-,19,131.57,0,0,0
1600,MLC Foster (WI),1973-1973,2,1,0,25,25,25.00,62,40.32,0,0,0
1601,S Jeganathan (SL),1983-1988,5,4,1,25,20*,8.33,39,64.10,0,0,0
1602,GMC Mol (Neth),2007-2008,6,4,2,25,14,12.50,54,46.29,0,0,0
1603,Nasir Ahmed (Ban),1988-1990,7,4,2,25,11,12.50,62,40.32,0,0,0
1604,A Patel (Can),2003-2003,2,1,0,25,25,25.00,29,86.20,0,0,0
1605,Saleem Altaf (Pak),1973-1978,6,2,1,25,21,25.00,53,47.16,0,0,0
1606,Shahid Nazir (Pak),1996-2000,17,8,7,25,8,25.00,43,58.13,0,0,0
1607,Sohail Khan (Pak),2008-2015,12,6,1,25,7,5.00,51,49.01,0,0,0
1608,SW Tait (Aus),2007-2011,35,7,5,25,11,12.50,29,86.20,0,0,1
1609,MR Benson (Eng),1986-1986,1,1,0,24,24,24.00,58,41.37,0,0,0
1610,AN French (HK),2004-2004,2,2,0,24,14,12.00,84,28.57,0,0,0
1611,SF Graf (Aus),1980-1981,11,6,0,24,8,4.00,50,48.00,0,0,1
1612,JPR Lamsam (HK),2004-2008,2,2,0,24,16,12.00,47,51.06,0,0,0
1613,SW Lubbers (Neth),1996-1996,4,4,1,24,9,8.00,37,64.86,0,0,0
1614,MJ Mason (NZ),2003-2010,26,7,4,24,13*,8.00,45,53.33,0,0,1
1615,Naeem Ashraf (Pak),1995-1995,2,2,1,24,16,24.00,43,55.81,0,0,0
1616,SB O'Connor (NZ),1997-2000,38,13,6,24,8,3.42,91,26.37,0,0,3
1617,SP Pasqual (SL),1979-1979,2,2,1,24,23*,24.00,28,85.71,0,0,0
1618,N Pothas (SA),2000-2000,3,1,0,24,24,24.00,41,58.53,0,0,0
1619,Rafiqul Alam (Ban),1986-1986,2,2,0,24,14,12.00,63,38.09,0,0,0
1620,Sheikh Salahuddin (Ban),1997-1997,6,5,3,24,12,12.00,136,17.64,0,0,0
1621,ML Su'a (NZ),1992-1995,12,7,2,24,12*,4.80,56,42.85,0,0,0
1622,DT Tiripano (Zim),2014-2015,7,5,2,24,13*,8.00,42,57.14,0,0,0
1623,JO Angara (Kenya),1997-2003,17,11,5,23,6,3.83,64,35.93,0,0,1
1624,HAG Anthony (WI),1995-1995,3,3,0,23,21,7.66,22,104.54,0,0,1
1625,Asim Butt (Scot),1999-1999,5,4,0,23,11,5.75,28,82.14,0,0,0
1626,SV Bahutule (India),1997-2003,8,4,1,23,11,7.66,29,79.31,0,0,0
1627,AE Greenidge (WI),1978-1978,1,1,0,23,23,23.00,33,69.69,0,0,0
1628,Hasti Gul (Afg),2009-2009,2,1,1,23,23*,-,11,209.09,0,0,0
1629,E Katchay (Can),2008-2009,5,3,1,23,12,11.50,41,56.09,0,0,0
1630,J Louw (SA),2008-2008,3,1,0,23,23,23.00,7,328.57,0,0,0
1631,SJ Massiah (USA),2004-2004,2,2,0,23,23,11.50,44,52.27,0,0,1
1632,AJ Penn (NZ),1997-2001,5,3,1,23,15,11.50,33,69.69,0,0,0
1633,V Razdan (India),1989-1990,3,3,1,23,18,11.50,27,85.18,0,0,0
1634,Afzaal Haider (HK),2004-2008,4,4,1,22,22,7.33,52,42.30,0,0,2
1635,UNK Fernando (SL),1994-1994,2,2,2,22,20*,-,25,88.00,0,0,0
1636,DW Headley (Eng),1996-1999,13,6,4,22,10*,11.00,49,44.89,0,0,1
1637,Kamran Shazad (UAE),2014-2015,4,3,1,22,13,11.00,25,88.00,0,0,1
1638,Mohammad Salman (Pak),2011-2011,7,3,1,22,19*,11.00,39,56.41,0,0,1
1639,Shafiuddin Ahmed (Ban),1997-2000,11,10,6,22,11,5.50,66,33.33,0,0,3
1640,BR Taylor (NZ),1973-1973,2,1,0,22,22,22.00,42,52.38,0,0,0
1641,CM Wells (Eng),1985-1985,2,2,0,22,17,11.00,44,50.00,0,0,0
1642,Ali Asad (UAE),2004-2004,2,2,1,21,12,21.00,47,44.68,0,0,0
1643,B Arun (India),1986-1987,4,3,1,21,8,10.50,32,65.62,0,0,0
1644,AB Dinda (India),2010-2013,13,5,0,21,16,4.20,36,58.33,0,0,2
1645,S Keshvani (Can),2009-2009,5,2,0,21,17,10.50,38,55.26,0,0,0
1646,MAWR Madurasinghe (SL),1988-1992,12,6,4,21,8*,10.50,62,33.87,0,0,0
1647,J Patraj (Can),2007-2007,2,2,0,21,20,10.50,48,43.75,0,0,0
1648,PM Siddle (Aus),2009-2010,17,4,2,21,9*,10.50,18,116.66,0,0,0
1649,DA Stirling (NZ),1984-1984,6,5,2,21,13*,7.00,39,53.84,0,0,0
1650,I Wardlaw (Scot),2013-2015,22,14,8,21,7*,3.50,40,52.50,0,0,5
1651,RA Woolmer (Eng),1972-1976,6,4,0,21,9,5.25,46,45.65,0,0,1
1652,SP Davis (Aus),1986-1988,39,11,7,20,6,5.00,34,58.82,0,0,1
1653,O Henry (SA),1992-1992,3,3,1,20,11,10.00,26,76.92,0,0,0
1654,AP Igglesden (Eng),1994-1994,4,3,1,20,18,10.00,31,64.51,0,0,1
1655,MR Johnson (USA),2004-2004,2,2,0,20,20,10.00,19,105.26,0,0,1
1656,MMA Jonkman (Neth),2007-2010,4,2,0,20,13,10.00,51,39.21,0,0,0
1657,BM Mauricette (Can),1979-1979,3,3,0,20,15,6.66,68,29.41,0,0,1
1658,DT Mutendera (Zim),1999-2001,9,4,2,20,10,10.00,43,46.51,0,0,0
1659,Nadeem Ahmed (HK),2004-2016,10,8,2,20,6,3.33,46,43.47,0,0,1
1660,IL Philip (Scot),1999-1999,3,3,0,20,17,6.66,89,22.47,0,0,1
1661,ADJ Pitcher (Ber),2007-2007,3,3,0,20,12,6.66,28,71.42,0,0,1
1662,Rizwan-uz-Zaman (Pak),1981-1987,3,3,0,20,14,6.66,129,15.50,0,0,0
1663,AF Sattaur (Can),2003-2003,3,3,0,20,13,6.66,60,33.33,0,0,1
1664,PH Sharma (India),1976-1976,2,2,0,20,14,10.00,39,51.28,0,0,0
1665,S Shivnarine (WI),1978-1978,1,1,1,20,20*,-,43,46.51,0,0,0
1666,Umair Ali (UAE),2015-2015,2,2,0,20,10,10.00,30,66.66,0,0,0
1667,KIW Wijegunawardene (SL),1988-1992,26,12,5,20,8*,2.85,55,36.36,0,0,4
1668,MD Dai (PNG),2014-2014,2,2,0,19,17,9.50,18,105.55,0,0,0
1669,JW Dernbach (Eng),2011-2013,24,8,1,19,5,2.71,39,48.71,0,0,1
1670,EL Gouka (Neth),1996-1996,3,2,1,19,19,19.00,36,52.77,0,0,0
1671,RGA Headley (WI),1973-1973,1,1,0,19,19,19.00,41,46.34,0,0,0
1672,T Kumaran (India),1999-2000,8,3,0,19,8,6.33,27,70.37,0,0,0
1673,MA Meman (Zim),1987-1987,1,1,0,19,19,19.00,22,86.36,0,0,0
1674,HSM Pieris (SL),1975-1975,3,3,1,19,16,9.50,59,32.20,0,0,0
1675,Sami Faridi (Can),2008-2008,3,2,0,19,16,9.50,31,61.29,0,0,0
1676,MJ Smith (Scot),1999-1999,5,5,0,19,13,3.80,85,22.35,0,0,0
1677,AG Wharf (Eng),2004-2005,13,5,3,19,9,9.50,28,67.85,0,0,1
1678,SG Borthwick (Eng),2011-2011,2,2,0,18,15,9.00,16,112.50,0,0,0
1679,CEH Croft (WI),1977-1981,19,6,4,18,8,9.00,38,47.36,0,0,0
1680,HJ Howarth (NZ),1973-1975,9,5,2,18,11,6.00,26,69.23,0,0,1
1681,Jamaluddin Ahmed (Ban),2003-2003,1,1,1,18,18*,-,28,64.28,0,0,0
1682,F Kasteni (Zim),2007-2007,3,3,0,18,9,6.00,42,42.85,0,0,1
1683,JJC Lawson (WI),2001-2005,13,5,2,18,8,6.00,16,112.50,0,0,0
1684,Munir Dar (HK),2008-2008,2,2,0,18,14,9.00,16,112.50,0,0,0
1685,Saleem Pervez (Pak),1980-1980,1,1,0,18,18,18.00,39,46.15,0,0,0
1686,Sharafuddin Ashraf (Afg),2014-2014,5,4,2,18,14,9.00,21,85.71,0,0,1
1687,LR Shukla (India),1999-1999,3,2,0,18,13,9.00,19,94.73,0,0,0
1688,Syed Maqsood (UAE),2004-2004,2,2,0,18,13,9.00,43,41.86,0,0,0
1689,Tanvir Ahmed (Pak),2011-2011,2,1,0,18,18,18.00,12,150.00,0,0,0
1690,K Whatham (Can),2011-2011,1,1,0,18,18,18.00,41,43.90,0,0,0
1691,RGCE Wijesuriya (SL),1982-1985,8,3,2,18,12*,18.00,48,37.50,0,0,1
1692,Zulqarnain (Pak),1985-1989,16,6,3,18,11*,6.00,30,60.00,0,0,2
1693,GI Allott (NZ),1997-2000,31,11,6,17,7*,3.40,56,30.35,0,0,2
1694,IS Gallage (SL),1999-2001,3,2,1,17,14,17.00,27,62.96,0,0,0
1695,RD Gudhka (Kenya),2011-2011,2,2,1,17,10,17.00,14,121.42,0,0,0
1696,MJ Hoggard (Eng),2001-2006,26,6,2,17,7,4.25,30,56.66,0,0,1
1697,Ilyas Gull (HK),2004-2004,2,2,0,17,16,8.50,59,28.81,0,0,0
1698,Intikhab Alam (Pak),1973-1976,4,2,0,17,10,8.50,45,37.77,0,0,0
1699,IT Iqbal (Kenya),1996-1996,3,2,0,17,16,8.50,52,32.69,0,0,0
1700,RSA Jayasekera (SL),1982-1982,2,1,0,17,17,17.00,42,40.47,0,0,0
1701,KCB Jeremy (WI),2000-2001,6,4,2,17,8*,8.50,42,40.47,0,0,1
1702,RJ Kennedy (NZ),1996-1996,7,4,3,17,8*,17.00,15,113.33,0,0,0
1703,P Lever (Eng),1971-1975,10,3,2,17,8*,17.00,24,70.83,0,0,0
1704,Raqibul Hasan (Ban),1986-1986,2,2,0,17,12,8.50,65,26.15,0,0,0
1705,MJG Rippon (Neth),2013-2014,4,2,1,17,14*,17.00,24,70.83,0,0,0
1706,CEW Silverwood (Eng),1996-2001,7,4,0,17,12,4.25,34,50.00,0,0,1
1707,L Sreekumar (UAE),2015-2015,2,2,0,17,13,8.50,24,70.83,0,0,0
1708,TP Ura (PNG),2014-2014,2,2,0,17,15,8.50,39,43.58,0,0,0
1709,CAK Walton (WI),2009-2014,5,4,0,17,17,4.25,30,56.66,0,0,3
1710,S Abrahams (SA),2000-2000,1,1,1,16,16*,-,26,61.53,0,0,0
1711,RW Anderson (NZ),1976-1978,2,2,1,16,12,16.00,46,34.78,0,0,0
1712,JH Desai (USA),2004-2004,1,1,0,16,16,16.00,38,42.10,0,0,0
1713,AM Guruge (UAE),2014-2015,7,4,4,16,10*,-,29,55.17,0,0,0
1714,N Ifill (Can),2003-2006,4,3,0,16,9,5.33,45,35.55,0,0,1
1715,Jahangir Shah (Ban),1986-1990,5,4,2,16,8*,8.00,62,25.80,0,0,1
1716,RL Johnson (Eng),2003-2003,10,4,1,16,10,5.33,20,80.00,0,0,1
1717,SB Lama (HK),2004-2004,1,1,1,16,16*,-,48,33.33,0,0,0
1718,BP Loots (Neth),2010-2011,7,5,2,16,9*,5.33,27,59.25,0,0,1
1719,RAL Massie (Aus),1972-1972,3,1,1,16,16*,-,24,66.66,0,0,0
1720,KJ O'Keeffe (Aus),1977-1977,2,2,1,16,16*,16.00,38,42.10,0,0,1
1721,FN Otieno (Kenya),2010-2010,4,4,0,16,8,4.00,68,23.52,0,0,1
1722,ADG Roberts (NZ),1976-1976,1,1,0,16,16,16.00,24,66.66,0,0,0
1723,V Shetty (UAE),2008-2014,2,2,0,16,9,8.00,29,55.17,0,0,0
1724,S Somasunder (India),1996-1996,2,2,0,16,9,8.00,63,25.39,0,0,0
1725,A Vala (PNG),2014-2014,2,2,0,16,10,8.00,23,69.56,0,0,0
1726,JNT Vare (PNG),2014-2014,2,2,1,16,9,16.00,12,133.33,0,0,0
1727,CA Young (Ire),2014-2015,9,3,1,16,11*,8.00,18,88.88,0,0,1
1728,C Zhuwao (Zim),2008-2008,1,1,0,16,16,16.00,20,80.00,0,0,0
1729,PJW Allott (Eng),1982-1985,13,6,1,15,8,3.00,25,60.00,0,0,2
1730,KN Amalean (SL),1986-1988,8,3,1,15,9,7.50,26,57.69,0,0,0
1731,HF Gurney (Eng),2014-2014,10,6,4,15,6*,7.50,33,45.45,0,0,0
1732,JR Hammond (Aus),1972-1972,1,1,1,15,15*,-,28,53.57,0,0,0
1733,RS Higgins (Zim),2006-2006,11,8,2,15,7*,2.50,63,23.80,0,0,3
1734,DAW Hollis (Ber),2008-2008,1,1,1,15,15*,-,26,57.69,0,0,0
1735,Irfan Fazil (Pak),2000-2000,1,1,0,15,15,15.00,16,93.75,0,0,0
1736,GE Kidd (Ire),2007-2008,6,1,0,15,15,15.00,25,60.00,0,0,0
1737,BW Luckhurst (Eng),1975-1975,3,3,0,15,14,5.00,69,21.73,0,0,1
1738,Mansoor Rana (Pak),1990-1990,2,2,0,15,10,7.50,24,62.50,0,0,0
1739,Mohammad Zahid (Pak),1996-2002,11,4,2,15,7*,7.50,22,68.18,0,0,0
1740,Mosharraf Hossain (Ban),2008-2008,3,3,0,15,8,5.00,43,34.88,0,0,0
1741,Mustafizur Rahman (Ban),2015-2015,9,5,3,15,9,7.50,33,45.45,0,0,0
1742,Nurul Abedin (Ban),1986-1990,4,4,0,15,13,3.75,55,27.27,0,0,2
1743,SW Poynter (Ire),2014-2014,3,2,0,15,8,7.50,30,50.00,0,0,0
1744,HD Rutherford (NZ),2013-2013,4,4,0,15,11,3.75,56,26.78,0,0,0
1745,Sajjad Ahmed (Ban),1995-1995,2,2,0,15,11,7.50,46,32.60,0,0,0
1746,DM Smith (Eng),1986-1990,2,2,1,15,10*,15.00,40,37.50,0,0,0
1747,LW Stokkers (Neth),2008-2008,1,1,1,15,15*,-,40,37.50,0,0,0
1748,Tariq Javed (Can),1979-1979,3,3,0,15,8,5.00,77,19.48,0,0,0
1749,PCR Tufnell (Eng),1990-1997,20,10,9,15,5*,15.00,31,48.38,0,0,0
1750,PS Vaidya (India),1995-1996,4,2,0,15,12,7.50,12,125.00,0,0,0
1751,A van der Merwe (Ire),2010-2011,9,6,2,15,8,3.75,25,60.00,0,0,2
1752,PA van Meekeren (Neth),2013-2014,2,1,1,15,15*,-,17,88.23,0,0,0
1753,Waqas Khan (HK),2015-2015,1,1,0,15,15,15.00,37,40.54,0,0,0
1754,AP Wells (Eng),1995-1995,1,1,0,15,15,15.00,10,150.00,0,0,0
1755,Zafar Gohar (Pak),2015-2015,1,1,0,15,15,15.00,15,100.00,0,0,0
1756,Ahsan Malik (Neth),2011-2014,12,5,5,14,10*,-,27,51.85,0,0,0
1757,Amir Hamza (Afg),2012-2016,21,9,4,14,4,2.80,76,18.42,0,0,1
1758,Asghar Ali (UAE),2004-2004,2,2,0,14,14,7.00,53,26.41,0,0,1
1759,Asif Mahmood (Pak),1998-1998,2,2,0,14,14,7.00,34,41.17,0,0,1
1760,IPP Batuwitarachchi (UAE),2008-2008,2,2,0,14,14,7.00,48,29.16,0,0,1
1761,AR Butcher (Eng),1980-1980,1,1,0,14,14,14.00,26,53.84,0,0,0
1762,G Chapple (Eng),2006-2006,1,1,0,14,14,14.00,7,200.00,0,0,0
1763,HS Dhillon (Can),2006-2006,2,2,0,14,13,7.00,35,40.00,0,0,0
1764,EA Essop-Adam (Zim),1992-1992,1,1,1,14,14*,-,15,93.33,0,0,0
1765,SKW Kelly (Ber),2006-2009,10,6,6,14,7*,-,31,45.16,0,0,0
1766,AA Mallett (Aus),1971-1975,9,3,1,14,8,7.00,36,38.88,0,0,1
1767,WP Masakadza (Zim),2015-2015,10,5,0,14,10,2.80,43,32.55,0,0,2
1768,Mohammad Akram (Pak),1995-2000,23,9,7,14,7*,7.00,34,41.17,0,0,1
1769,Nadeem Ghauri (Pak),1990-1990,6,3,2,14,7*,14.00,25,56.00,0,0,0
1770,IA Nicolson (Zim),2010-2010,2,2,0,14,14,7.00,22,63.63,0,0,1
1771,D Soraine (Can),2006-2012,4,4,0,14,6,3.50,20,70.00,0,0,1
1772,GE Vivian (NZ),1973-1973,1,1,0,14,14,14.00,30,46.66,0,0,0
1773,LJ Woodcock (NZ),2011-2011,4,2,1,14,11,14.00,22,63.63,0,0,0
1774,Zahid Razzak (Ban),1988-1990,3,3,0,14,6,4.66,44,31.81,0,0,0
1775,Aamer Nazir (Pak),1993-1995,9,3,2,13,9*,13.00,20,65.00,0,0,0
1776,Asad Ali (Pak),2013-2013,4,2,0,13,11,6.50,16,81.25,0,0,0
1777,LS Baker (WI),2008-2009,10,4,2,13,11*,6.50,23,56.52,0,0,1
1778,MD Bates (NZ),2012-2012,2,1,0,13,13,13.00,10,130.00,0,0,0
1779,GA Bishop (Aus),1987-1987,2,2,0,13,7,6.50,44,29.54,0,0,0
1780,GK Bose (India),1974-1974,1,1,0,13,13,13.00,18,72.22,0,0,0
1781,NG Cowans (Eng),1983-1985,23,8,3,13,4*,2.60,29,44.82,0,0,3
1782,HT Davis (NZ),1994-1997,11,6,4,13,7*,6.50,33,39.39,0,0,1
1783,RR Emrit (WI),2007-2007,2,2,1,13,13,13.00,35,37.14,0,0,0
1784,Gurkeerat Singh (India),2016-2016,3,3,1,13,8,6.50,13,100.00,0,0,0
1785,RL Hayes (NZ),1995-1995,1,1,0,13,13,13.00,25,52.00,0,0,0
1786,RO Hurley (WI),2003-2004,9,4,0,13,6,3.25,32,40.62,0,0,1
1787,D Joseph (Can),2003-2003,4,3,3,13,9*,-,24,54.16,0,0,0
1788,JJ Krejza (Aus),2011-2011,8,2,1,13,7,13.00,23,56.52,0,0,0
1789,AMN Munasinghe (SL),1994-1996,5,4,1,13,8,4.33,52,25.00,0,0,1
1790,S Seeraj (Can),2006-2006,1,1,1,13,13*,-,12,108.33,0,0,0
